Happy_comment_word,Happy_number_use_for_word,Sad_comment_word,Sad_number_use_for_word,All_number_use_for_word
جای,524.0,جای,1159.0,1683.0
استفاده,637.0,استفاده,1033.0,1670.0
روی,551.0,روی,1115.0,1666.0
تاخیر,370.0,تاخیر,1280.0,1650.0
نظر,879.0,نظر,771.0,1650.0
فوق,1018.0,فوق,619.0,1637.0
دیر,676.0,دیر,953.0,1629.0
شما,888.0,شما,724.0,1612.0
داغ,1322.0,داغ,288.0,1610.0
یا,602.0,یا,1007.0,1609.0
ریخته,411.0,ریخته,1193.0,1604.0
دقیقه,532.0,دقیقه,1065.0,1597.0
باید,548.0,باید,1036.0,1584.0
غذای,654.0,غذای,924.0,1578.0
کمی,1093.0,کمی,464.0,1557.0
نشده,475.0,نشده,1076.0,1551.0
هیچ,308.0,هیچ,1229.0,1537.0
نیست,487.0,نیست,1043.0,1530.0
داخل,495.0,داخل,1025.0,1520.0
خوش,1333.0,خوش,173.0,1506.0
ممنونم,1417.0,ممنونم,68.0,1485.0
لطفا,686.0,لطفا,797.0,1483.0
هست,687.0,هست,796.0,1483.0
خمیر,348.0,خمیر,1130.0,1478.0
العاده,873.0,العاده,598.0,1471.0
تشکر,1222.0,تشکر,226.0,1448.0
مواد,578.0,مواد,869.0,1447.0
رسید.,1024.0,رسید.,418.0,1442.0
سوخاری,527.0,سوخاری,911.0,1438.0
میشه,779.0,میشه,659.0,1438.0
سوخته,258.0,سوخته,1175.0,1433.0
بدون,431.0,بدون,999.0,1430.0
چی,931.0,چی,499.0,1430.0
توی,526.0,توی,881.0,1407.0
خرید,496.0,خرید,906.0,1402.0
وقتی,411.0,وقتی,968.0,1379.0
کلا,368.0,کلا,999.0,1367.0
چون,608.0,چون,749.0,1357.0
اگر,715.0,اگر,597.0,1312.0
معمولی,467.0,معمولی,841.0,1308.0
توجه,671.0,توجه,633.0,1304.0
کنید,633.0,کنید,655.0,1288.0
کردم,434.0,کردم,832.0,1266.0
مناسب,799.0,مناسب,459.0,1258.0
بوی,235.0,بوی,1022.0,1257.0
قارچ,426.0,قارچ,830.0,1256.0
است,527.0,است,714.0,1241.0
طول,378.0,طول,858.0,1236.0
میداد,218.0,میداد,997.0,1215.0
آب,357.0,آب,854.0,1211.0
افتضاح,54.0,افتضاح,1128.0,1182.0
دفعه,430.0,دفعه,747.0,1177.0
جعبه,360.0,جعبه,813.0,1173.0
برگر,478.0,برگر,692.0,1170.0
سیر,519.0,سیر,640.0,1159.0
دست,430.0,دست,727.0,1157.0
یکی,485.0,یکی,660.0,1145.0
زود,970.0,زود,172.0,1142.0
انگار,207.0,انگار,926.0,1133.0
برخورد,777.0,برخورد,346.0,1123.0
مقدار,681.0,مقدار,436.0,1117.0
یکم,883.0,یکم,220.0,1103.0
داره,474.0,داره,627.0,1101.0
بالا,458.0,بالا,633.0,1091.0
خام,159.0,خام,932.0,1091.0
خوردن,182.0,خوردن,893.0,1075.0
روز,399.0,روز,675.0,1074.0
چرا,320.0,چرا,749.0,1069.0
حتی,287.0,حتی,773.0,1060.0
پر,408.0,پر,631.0,1039.0
چیزی,272.0,چیزی,765.0,1037.0
سفت,214.0,سفت,820.0,1034.0
بشه,565.0,بشه,453.0,1018.0
چرب,348.0,چرب,670.0,1018.0
هزینه,492.0,هزینه,521.0,1013.0
کمتر,562.0,کمتر,445.0,1007.0
نوشابه,345.0,نوشابه,660.0,1005.0
اون,343.0,اون,652.0,995.0
نیم,244.0,نیم,733.0,977.0
اگه,549.0,اگه,424.0,973.0
توضیحات,405.0,توضیحات,558.0,963.0
روغن,241.0,روغن,720.0,961.0
مرسی,894.0,مرسی,60.0,954.0
شدت,111.0,شدت,841.0,952.0
ظرف,351.0,ظرف,596.0,947.0
بودند,385.0,بودند,559.0,944.0
چند,294.0,چند,636.0,930.0
شور,274.0,شور,653.0,927.0
قبلا,276.0,قبلا,648.0,924.0
انتظار,276.0,انتظار,642.0,918.0
اندازه,447.0,اندازه,464.0,911.0
۲,204.0,۲,706.0,910.0
تماس,262.0,تماس,648.0,910.0
باز,319.0,باز,587.0,906.0
پیتزای,316.0,پیتزای,584.0,900.0
میکنم,526.0,میکنم,370.0,896.0
همراه,390.0,همراه,505.0,895.0
کشید,267.0,کشید,621.0,888.0
درست,311.0,درست,576.0,887.0
گذاشته,347.0,گذاشته,538.0,885.0
یخ,131.0,یخ,752.0,883.0
دور,176.0,دور,704.0,880.0
فکر,315.0,فکر,554.0,869.0
کردن,285.0,کردن,581.0,866.0
پول,153.0,پول,713.0,866.0
متاسفم,24.0,متاسفم,839.0,863.0
همین,402.0,همین,460.0,862.0
امیدوارم,572.0,امیدوارم,289.0,861.0
اشتباه,218.0,اشتباه,639.0,857.0
زده,232.0,زده,622.0,854.0
بود!,248.0,بود!,583.0,831.0
البته,495.0,البته,336.0,831.0
عدد,189.0,عدد,640.0,829.0
کهنه,108.0,کهنه,720.0,828.0
کیفیتش,407.0,کیفیتش,416.0,823.0
داشت.,368.0,داشت.,449.0,817.0
فرستاده,255.0,فرستاده,559.0,814.0
قیمتش,405.0,قیمتش,407.0,812.0
کاش,593.0,کاش,215.0,808.0
نپخته,97.0,نپخته,709.0,806.0
نداشت.,211.0,نداشت.,593.0,804.0
شد.,328.0,شد.,473.0,801.0
فرستادن,196.0,فرستادن,592.0,788.0
پیش,225.0,پیش,557.0,782.0
خوبه,580.0,خوبه,193.0,773.0
سه,251.0,سه,515.0,766.0
ک,307.0,ک,452.0,759.0
گوجه,250.0,گوجه,508.0,758.0
داشتم,331.0,داشتم,419.0,750.0
تمام,230.0,تمام,520.0,750.0
ته,273.0,ته,476.0,749.0
بر,227.0,بر,522.0,749.0
کامل,344.0,کامل,403.0,747.0
بستنی,246.0,بستنی,500.0,746.0
….,282.0,….,463.0,745.0
دوست,474.0,دوست,269.0,743.0
شدم,253.0,شدم,489.0,742.0
هات,309.0,هات,431.0,740.0
پیگیری,197.0,پیگیری,537.0,734.0
عکس,239.0,عکس,493.0,732.0
فیله,285.0,فیله,444.0,729.0
اولین,357.0,اولین,371.0,728.0
تقریبا,239.0,تقریبا,479.0,718.0
برام,233.0,برام,478.0,711.0
بدی,96.0,بدی,614.0,710.0
تاریخ,336.0,تاریخ,373.0,709.0
نوشته,251.0,نوشته,456.0,707.0
مورد,312.0,مورد,391.0,703.0
حد,231.0,حد,470.0,701.0
بوده,203.0,بوده,498.0,701.0
پیشنهاد,381.0,پیشنهاد,319.0,700.0
وجود,247.0,وجود,452.0,699.0
آن,222.0,آن,470.0,692.0
نظرم,419.0,نظرم,269.0,688.0
منو,275.0,منو,411.0,686.0
گرفتم,192.0,گرفتم,494.0,686.0
کنم,253.0,کنم,431.0,684.0
بیات,104.0,بیات,578.0,682.0
بابت,438.0,بابت,239.0,677.0
کوچک,211.0,کوچک,464.0,675.0
اضافه,356.0,اضافه,317.0,673.0
خورده,227.0,خورده,445.0,672.0
غیر,147.0,غیر,525.0,672.0
انقدر,172.0,انقدر,496.0,668.0
سرخ,244.0,سرخ,424.0,668.0
اینجا,234.0,اینجا,432.0,666.0
تومن,172.0,تومن,493.0,665.0
خود,243.0,خود,408.0,651.0
نصف,132.0,نصف,514.0,646.0
پخته,268.0,پخته,375.0,643.0
چه,182.0,چه,455.0,637.0
له,129.0,له,499.0,628.0
اول,216.0,اول,411.0,627.0
میشد,297.0,میشد,328.0,625.0
بقیه,346.0,بقیه,278.0,624.0
نداره,217.0,نداره,404.0,621.0
تیکه,133.0,تیکه,481.0,614.0
کوچیک,254.0,کوچیک,357.0,611.0
بهترین,535.0,بهترین,70.0,605.0
قاشق,203.0,قاشق,400.0,603.0
نبودم,60.0,نبودم,542.0,602.0
سفارشم,280.0,سفارشم,321.0,601.0
گرفته,168.0,گرفته,430.0,598.0
چنگال,240.0,چنگال,358.0,598.0
۱,116.0,۱,475.0,591.0
کار,228.0,کار,361.0,589.0
حتما,380.0,حتما,207.0,587.0
روش,161.0,روش,426.0,587.0
تکه,149.0,تکه,437.0,586.0
وقت,294.0,وقت,292.0,586.0
سبزی,253.0,سبزی,329.0,582.0
خامه,173.0,خامه,405.0,578.0
حجمش,322.0,حجمش,256.0,578.0
تند,284.0,تند,291.0,575.0
میدم,294.0,میدم,280.0,574.0
نبود،,161.0,نبود،,412.0,573.0
خسته,444.0,خسته,129.0,573.0
الان,155.0,الان,417.0,572.0
فاصله,197.0,فاصله,374.0,571.0
بو,115.0,بو,455.0,570.0
داشته,256.0,داشته,313.0,569.0
زیادی,257.0,زیادی,310.0,567.0
کوبیده,207.0,کوبیده,360.0,567.0
یعنی,156.0,یعنی,410.0,566.0
جالب,258.0,جالب,306.0,564.0
سرعت,491.0,سرعت,72.0,563.0
نمیدونم,178.0,نمیدونم,384.0,562.0
دقت,297.0,دقت,265.0,562.0
انتخاب,278.0,انتخاب,284.0,562.0
عالی.,546.0,عالی.,15.0,561.0
مدیریت,414.0,مدیریت,146.0,560.0
سری,205.0,سری,354.0,559.0
مخصوصا,402.0,مخصوصا,153.0,555.0
سوپر,276.0,سوپر,279.0,555.0
افت,101.0,افت,453.0,554.0
آوردن,208.0,آوردن,343.0,551.0
درد,392.0,درد,159.0,551.0
بیش,143.0,بیش,408.0,551.0
کرد,210.0,کرد,338.0,548.0
داگ,216.0,داگ,330.0,546.0
سوپ,268.0,سوپ,278.0,546.0
هستم,248.0,هستم,298.0,546.0
پلو,211.0,پلو,332.0,543.0
شیر,174.0,شیر,367.0,541.0
۳,143.0,۳,395.0,538.0
شیرینی‌ها,243.0,شیرینی‌ها,293.0,536.0
عالیه,488.0,عالیه,46.0,534.0
قرار,181.0,قرار,349.0,530.0
مانده,69.0,مانده,458.0,527.0
تومان,142.0,تومان,384.0,526.0
کاهو,121.0,کاهو,404.0,525.0
سپاس,471.0,سپاس,54.0,525.0
غذاها,271.0,غذاها,253.0,524.0
دوباره,157.0,دوباره,362.0,519.0
بجای,171.0,بجای,347.0,518.0
ارسالی,122.0,ارسالی,396.0,518.0
خوردم,153.0,خوردم,363.0,516.0
پیاز,207.0,پیاز,305.0,512.0
بدترین,13.0,بدترین,499.0,512.0
رسید،,332.0,رسید،,178.0,510.0
بنده,152.0,بنده,355.0,507.0
مشکل,197.0,مشکل,308.0,505.0
هزار,101.0,هزار,401.0,502.0
زنگ,123.0,زنگ,379.0,502.0
ماست,179.0,ماست,321.0,500.0
مجبور,126.0,مجبور,372.0,498.0
سرویس,306.0,سرویس,191.0,497.0
غذایی,120.0,غذایی,377.0,497.0
تنها,276.0,تنها,220.0,496.0
بهم,162.0,بهم,333.0,495.0
حالا,166.0,حالا,329.0,495.0
ثبت,161.0,ثبت,334.0,495.0
باروژ,184.0,باروژ,310.0,494.0
اومد,272.0,اومد,222.0,494.0
است.,244.0,است.,250.0,494.0
حداقل,150.0,حداقل,341.0,491.0
همبرگر,142.0,همبرگر,348.0,490.0
باعث,169.0,باعث,321.0,490.0
استیک,206.0,استیک,277.0,483.0
مخصوص,261.0,مخصوص,220.0,481.0
بودم.,253.0,بودم.,227.0,480.0
دوتا,150.0,دوتا,322.0,472.0
شبیه,105.0,شبیه,362.0,467.0
دادن,147.0,دادن,319.0,466.0
دارم,250.0,دارم,216.0,466.0
داخلش,144.0,داخلش,321.0,465.0
پرپروک,189.0,پرپروک,276.0,465.0
مخلفات,214.0,مخلفات,249.0,463.0
دستمون,301.0,دستمون,161.0,462.0
نوع,189.0,نوع,272.0,461.0
نمک,196.0,نمک,264.0,460.0
بهتره,286.0,بهتره,173.0,459.0
رفته,129.0,رفته,330.0,459.0
بودن.,222.0,بودن.,236.0,458.0
خورد,82.0,خورد,376.0,458.0
عالی،,438.0,عالی،,18.0,456.0
واسه,155.0,واسه,301.0,456.0
بگم,203.0,بگم,250.0,453.0
جدا,191.0,جدا,260.0,451.0
ساده,143.0,ساده,306.0,449.0
حمل,192.0,حمل,257.0,449.0
طعمش,278.0,طعمش,171.0,449.0
بزرگ,187.0,بزرگ,261.0,448.0
نداشتم,123.0,نداشتم,323.0,446.0
ب,221.0,ب,224.0,445.0
چیکن,227.0,چیکن,217.0,444.0
کلی,138.0,کلی,303.0,441.0
سر,229.0,سر,210.0,439.0
کنار,201.0,کنار,237.0,438.0
موجود,161.0,موجود,277.0,438.0
فلفل,168.0,فلفل,269.0,437.0
اعلام,159.0,اعلام,277.0,436.0
سزار,147.0,سزار,288.0,435.0
توش,114.0,توش,320.0,434.0
پخت,221.0,پخت,213.0,434.0
شود,220.0,شود,214.0,434.0
شیرین,172.0,شیرین,262.0,434.0
زودتر,350.0,زودتر,81.0,431.0
باگت,161.0,باگت,270.0,431.0
کیلو,121.0,کیلو,310.0,431.0
رفتار,296.0,رفتار,134.0,430.0
فست,205.0,فست,224.0,429.0
دار,208.0,دار,221.0,429.0
جا,184.0,جا,244.0,428.0
حال,198.0,حال,230.0,428.0
۵,168.0,۵,260.0,428.0
تخفیف,202.0,تخفیف,225.0,427.0
ضمن,156.0,ضمن,270.0,426.0
همون,168.0,همون,258.0,426.0
اومده,89.0,اومده,333.0,422.0
شکلاتی,176.0,شکلاتی,246.0,422.0
نمیشه,138.0,نمیشه,283.0,421.0
آماده,179.0,آماده,238.0,417.0
امروز,147.0,امروز,268.0,415.0
قبول,196.0,قبول,219.0,415.0
پاستا,163.0,پاستا,251.0,414.0
اینقدر,119.0,اینقدر,293.0,412.0
سالم,313.0,سالم,99.0,412.0
مرغش,142.0,مرغش,270.0,412.0
ارزش,141.0,ارزش,269.0,410.0
اب,95.0,اب,315.0,410.0
شاید,173.0,شاید,237.0,410.0
فاکتور,128.0,فاکتور,280.0,408.0
شدن,162.0,شدن,245.0,407.0
چین,168.0,چین,238.0,406.0
تخم,112.0,تخم,294.0,406.0
نباشید,311.0,نباشید,94.0,405.0
ژامبون,125.0,ژامبون,280.0,405.0
مشخص,120.0,مشخص,285.0,405.0
نیست.,137.0,نیست.,266.0,403.0
بودند.,175.0,بودند.,227.0,402.0
حدود,144.0,حدود,257.0,401.0
حیف,92.0,حیف,308.0,400.0
نامناسب,49.0,نامناسب,351.0,400.0
دونه,101.0,دونه,298.0,399.0
خراب,106.0,خراب,293.0,399.0
کالباس,78.0,کالباس,319.0,397.0
پشتیبانی,91.0,پشتیبانی,300.0,391.0
۴,107.0,۴,283.0,390.0
کیسه,130.0,کیسه,260.0,390.0
برسه,138.0,برسه,252.0,390.0
بدستم,245.0,بدستم,137.0,382.0
اوردن,134.0,اوردن,248.0,382.0
نزدیک,135.0,نزدیک,247.0,382.0
بیشتری,191.0,بیشتری,191.0,382.0
دورچین,232.0,دورچین,148.0,380.0
ترش,138.0,ترش,242.0,380.0
صورت,166.0,صورت,214.0,380.0
اینبار,122.0,اینبار,257.0,379.0
رسیدن,244.0,رسیدن,133.0,377.0
سلام.,194.0,سلام.,182.0,376.0
نرم,201.0,نرم,175.0,376.0
خورشت,122.0,خورشت,251.0,373.0
دقیقا,175.0,دقیقا,197.0,372.0
باشید,281.0,باشید,89.0,370.0
اونم,114.0,اونم,255.0,369.0
همچنین,141.0,همچنین,227.0,368.0
خدا,257.0,خدا,109.0,366.0
امتحان,272.0,امتحان,92.0,364.0
ناراضی,42.0,ناراضی,322.0,364.0
مصرف,136.0,مصرف,226.0,362.0
خاطر,165.0,خاطر,197.0,362.0
درخواست,154.0,درخواست,208.0,362.0
بدمزه,29.0,بدمزه,332.0,361.0
پپرونی,171.0,پپرونی,190.0,361.0
دلیل,87.0,دلیل,273.0,360.0
کننده,152.0,کننده,206.0,358.0
خالی,75.0,خالی,282.0,357.0
قیمه,102.0,قیمه,254.0,356.0
داد,154.0,داد,201.0,355.0
چیپس,107.0,چیپس,248.0,355.0
بودیم,153.0,بودیم,202.0,355.0
عنوان,99.0,عنوان,255.0,354.0
زرشک,133.0,زرشک,220.0,353.0
پرداخت,107.0,پرداخت,246.0,353.0
بازم,234.0,بازم,119.0,353.0
پس,72.0,پس,280.0,352.0
نونش,157.0,نونش,194.0,351.0
متوسط,160.0,متوسط,190.0,350.0
سبزیجات,169.0,سبزیجات,179.0,348.0
سوسیس,88.0,سوسیس,259.0,347.0
دادیم,76.0,دادیم,271.0,347.0
خیلى,170.0,خیلى,176.0,346.0
زمینی‌ها,107.0,زمینی‌ها,238.0,345.0
بیرون,116.0,بیرون,227.0,343.0
ماهی,135.0,ماهی,207.0,342.0
باشه.,177.0,باشه.,164.0,341.0
محترم,262.0,محترم,79.0,341.0
نشد,86.0,نشد,255.0,341.0
اجناس,188.0,اجناس,152.0,340.0
کلم,135.0,کلم,205.0,340.0
فرق,87.0,فرق,253.0,340.0
حساب,112.0,حساب,227.0,339.0
پیدا,127.0,پیدا,210.0,337.0
زیر,116.0,زیر,221.0,337.0
عوض,105.0,عوض,232.0,337.0
تغییر,116.0,تغییر,221.0,337.0
همش,61.0,همش,275.0,336.0
بده,154.0,بده,181.0,335.0
دوم,95.0,دوم,240.0,335.0
قبلی,110.0,قبلی,223.0,333.0
دریافت,110.0,دریافت,222.0,332.0
شکلات,110.0,شکلات,222.0,332.0
مارکت,172.0,مارکت,160.0,332.0
نمیشد,72.0,نمیشد,257.0,329.0
لذیذ,315.0,لذیذ,13.0,328.0
متفاوت,113.0,متفاوت,215.0,328.0
نفر,183.0,نفر,141.0,324.0
خاصی,116.0,خاصی,208.0,324.0
۱۰,107.0,۱۰,216.0,323.0
بخاطر,153.0,بخاطر,170.0,323.0
نکنه,282.0,نکنه,39.0,321.0
محصولات,207.0,محصولات,113.0,320.0
تعداد,141.0,تعداد,178.0,319.0
نمیکنم,33.0,نمیکنم,286.0,319.0
خوراک,141.0,خوراک,176.0,317.0
هاش,155.0,هاش,161.0,316.0
ویژه,169.0,ویژه,147.0,316.0
شیلا,170.0,شیلا,145.0,315.0
برشته,177.0,برشته,137.0,314.0
ممنون.,288.0,ممنون.,26.0,314.0
ران,90.0,ران,223.0,313.0
رنگ,78.0,رنگ,233.0,311.0
گفت,101.0,گفت,209.0,310.0
ی,142.0,ی,168.0,310.0
انجام,126.0,انجام,184.0,310.0
موفق,269.0,موفق,40.0,309.0
مدل,127.0,مدل,181.0,308.0
گرفتن,107.0,گرفتن,201.0,308.0
-,137.0,-,169.0,306.0
لذت,267.0,لذت,38.0,305.0
گذشته,74.0,گذشته,231.0,305.0
نسبتا,186.0,نسبتا,118.0,304.0
سینه,73.0,سینه,231.0,304.0
دیگر,83.0,دیگر,220.0,303.0
کنید.,173.0,کنید.,130.0,303.0
خامه‌ای,101.0,خامه‌ای,200.0,301.0
ترد,211.0,ترد,90.0,301.0
شده.,98.0,شده.,203.0,301.0
محصول,89.0,محصول,212.0,301.0
حس,135.0,حس,165.0,300.0
ازتون,206.0,ازتون,94.0,300.0
متشکرم,275.0,متشکرم,25.0,300.0
باشد,132.0,باشد,166.0,298.0
دفعات,102.0,دفعات,196.0,298.0
جز,122.0,جز,174.0,296.0
دستتون,266.0,دستتون,30.0,296.0
مبلغ,92.0,مبلغ,204.0,296.0
۲۰,125.0,۲۰,170.0,295.0
طبق,188.0,طبق,105.0,293.0
سیاه,69.0,سیاه,224.0,293.0
نازک,87.0,نازک,205.0,292.0
کسی,76.0,کسی,216.0,292.0
تاکید,60.0,تاکید,231.0,291.0
گفتم,101.0,گفتم,189.0,290.0
شکل,83.0,شکل,205.0,288.0
سایز,115.0,سایز,172.0,287.0
خودم,112.0,خودم,175.0,287.0
پیتزاش,122.0,پیتزاش,165.0,287.0
تلخ,63.0,تلخ,223.0,286.0
همچین,61.0,همچین,225.0,286.0
بود..,136.0,بود..,150.0,286.0
شکسته,66.0,شکسته,220.0,286.0
ای,184.0,ای,101.0,285.0
ادویه,119.0,ادویه,165.0,284.0
ش,126.0,ش,158.0,284.0
جنس,85.0,جنس,199.0,284.0
گفتن,78.0,گفتن,206.0,284.0
قسمت,121.0,قسمت,162.0,283.0
حرف,244.0,حرف,39.0,283.0
نمیدم,16.0,نمیدم,266.0,282.0
صورتی,61.0,صورتی,221.0,282.0
ضعیف,59.0,ضعیف,223.0,282.0
موارد,149.0,موارد,132.0,281.0
پک,119.0,پک,160.0,279.0
تجربه,130.0,تجربه,149.0,279.0
پلاستیک,94.0,پلاستیک,185.0,279.0
بودم،,120.0,بودم،,159.0,279.0
آخرین,9.0,آخرین,269.0,278.0
چسبیده,78.0,چسبیده,199.0,277.0
گوشتش,99.0,گوشتش,178.0,277.0
خواسته,125.0,خواسته,152.0,277.0
پیتزاها,127.0,پیتزاها,149.0,276.0
نداشت،,57.0,نداشت،,219.0,276.0
لحاظ,170.0,لحاظ,106.0,276.0
مغایرت,27.0,مغایرت,243.0,270.0
کافی,167.0,کافی,103.0,270.0
مزه‌ی,83.0,مزه‌ی,187.0,270.0
هایی,125.0,هایی,144.0,269.0
بدم,94.0,بدم,174.0,268.0
پنیرش,146.0,پنیرش,122.0,268.0
تست,135.0,تست,132.0,267.0
طوری,63.0,طوری,203.0,266.0
مالیات,128.0,مالیات,138.0,266.0
همینطور,161.0,همینطور,105.0,266.0
همیشگی,106.0,همیشگی,158.0,264.0
تهیه,96.0,تهیه,167.0,263.0
گفته,90.0,گفته,173.0,263.0
نهایت,87.0,نهایت,175.0,262.0
پای,118.0,پای,144.0,262.0
دم,113.0,دم,148.0,261.0
سفید,92.0,سفید,169.0,261.0
اکسپرس,169.0,اکسپرس,91.0,260.0
قرمز,91.0,قرمز,168.0,259.0
داشت،,94.0,داشت،,165.0,259.0
برند,71.0,برند,188.0,259.0
مودب,241.0,مودب,17.0,258.0
بین,95.0,بین,163.0,258.0
هنوز,97.0,هنوز,159.0,256.0
میداد.,50.0,میداد.,206.0,256.0
اولیه,109.0,اولیه,146.0,255.0
توصیه,85.0,توصیه,169.0,254.0
کنه,102.0,کنه,152.0,254.0
رفت,41.0,رفت,212.0,253.0
شعبه,95.0,شعبه,158.0,253.0
سنگک,112.0,سنگک,141.0,253.0
میکنه,133.0,میکنه,119.0,252.0
اطلاع,83.0,اطلاع,169.0,252.0
غذاش,127.0,غذاش,125.0,252.0
رسیدگی,67.0,رسیدگی,185.0,252.0
سلام،,118.0,سلام،,133.0,251.0
ازش,102.0,ازش,148.0,250.0
فراموش,130.0,فراموش,120.0,250.0
حفظ,190.0,حفظ,59.0,249.0
کنن,123.0,کنن,126.0,249.0
خب,104.0,خب,142.0,246.0
مجموع,163.0,مجموع,83.0,246.0
لیمو,108.0,لیمو,138.0,246.0
افتاده,67.0,افتاده,178.0,245.0
درب,97.0,درب,147.0,244.0
استریپس,116.0,استریپس,127.0,243.0
پودر,67.0,پودر,175.0,242.0
