words,labele
تازه،,97
هنوز,97
سبک,96
تهیه,96
بدی,96
بهداشتی,96
تایم,96
عرض,96
رولت,96
دوم,95
دستمال,95
اب,95
بین,95
شعبه,95
کنارش,95
مناسبی,95
بدم,94
بودین,94
پلاستیک,94
هویج,94
داشت،,94
برنجش,94
ثابت,93
عطر,93
مسافت,93
بودن،,93
مثلا,92
حیف,92
میخواستم,92
سفید,92
مبلغ,92
دوستان,92
قرمز,91
پشتیبانی,91
ایرانی,91
تنوری,91
دیزی,91
فروشگاه,91
ذکر,90
گفته,90
بیف,90
ران,90
خوبه.,90
خودش,90
امکان,90
مغز,89
طور,89
محصول,89
آش,89
اومده,89
سوسیس,88
عمل,88
داره.,88
نهایت,87
نازک,87
تهران,87
دلیل,87
فرق,87
ادامه,87
نشد,86
خیار,86
جنس,85
هاتون,85
توصیه,85
خوشمزه‌تر,85
میکس,84
سلیقه,84
لقمه,84
خوشم,84
اطلاع,83
هستن,83
میده,83
قیمت‌ها,83
دیگر,83
میدادم,83
شکل,83
یکبار,83
مزه‌ی,83
ارائه,83
احساس,83
نکنه.,82
کنجد,82
جو,82
چلو,82
حضوری,82
خورد,82
ولى,82
غذا‌ها,82
چقدر,82
زمانی,82
مسیر,81
وگرنه,81
میوه‌ها,81
نفره,81
بادمجان,81
کردند,80
سرو,80
فروشی,80
قطعا,80
دارن,80
راحت,79
همراهش,79
غذارو,79
۱۵,79
هستم.,79
باشید.,79
بردم,79
کارتون,79
گرم.,79
میشم,79
امتیاز,79
قوت,79
چسبیده,78
کالباس,78
ادب,78
گفتن,78
معمول,78
پیتزاهای,78
رنگ,78
آورده,78
میکردم,78
حرفه‌ای,78
بهش,77
ربع,77
عااالی,77
لیست,77
منزل,77
رست,77
سفارش‌ها,77
زحمت,77
ساندویچ‌ها,77
جایگزین,77
گریل,77
میشد.,77
بدید,76
باشه،,76
میاد,76
کرد.,76
قنادی,76
دوس,76
حالت,76
کبابی,76
بخش,76
دادیم,76
سسش,76
کسی,76
ایتالیایی,76
بهتری,76
انصافا,75
طرف,75
خریدم,75
کیفیت.,75
دیدم,75
لوبیا,75
نخورده,75
خالی,75
نشه,74
گذشته,74
میتونه,74
ده,74
باکس,74
اقلام,74
کره,74
مخلوط,74
داشتم.,74
انار,73
ستاره,73
بینظیر,73
سینه,73
هستید,73
نکرده,73
پلاستیکی,73
دادم.,73
شب,73
حذف,73
وسط,72
جدید,72
خاص,72
میکنن,72
گذاشتن,72
دانمارکی,72
پس,72
نمیشد,72
دوغ,72
محل,72
پاکت,72
شد،,71
کنند,71
داشتن,71
افزایش,71
عاشق,71
برند,71
گرون,71
اهمیت,71
قرمه,71
چهار,71
خواستم,71
۳۰,71
خیارشور,70
بیست,70
کاغذی,70
سریع،,70
خواهم,70
شون,70
اورد,70
سال,70
زیتون,70
غذا،,69
بخصوص,69
ظاهر,69
دادم،,69
نباید,69
مرغ‌ها,69
طبخ,69
نایلون,69
سیاه,69
کیفیتتون,69
مانده,69
نباشید.,69
ملات,69
نوشیدنی,68
گردو,68
معمولا,68
منظم,68
بزارید,68
غذاهاتون,68
پوره,68
نیز,67
افتاده,67
رایگان,67
پودر,67
کشک,67
رسیدگی,67
واقعی,67
نقص,67
مگه,66
شکسته,66
مطلوب,66
موز,66
تازه.,66
خرد,66
سبز,66
نانوایی,66
حلیم,66
راه,66
تیم,66
صبحانه,66
محتویات,66
کردید,66
برخلاف,66
شه,65
ظروف,65
مودبانه,65
نذاشته,65
تک,65
جالبی,65
دستشون,65
سازی,65
باسلام,64
همینجوری,64
کوچولو,64
چربی,64
هستیم,64
ایراد,64
اینجوری,64
پنج,64
فرنگی,64
مزش,64
نظرات,64
نباشه,64
طوری,63
لطف,63
دقیقه‌ای,63
ایندفعه,63
کالا,63
تلخ,63
فود.,63
عااااالی,63
نحوه,63
میگم,63
غدا,62
چندین,62
هستند,62
مهم,62
رستوران‌های,62
نداره.,62
فک,62
بالاتر,62
شدیم,62
میکنید,62
آدرس,62
دیگه‌ای,62
محدوده,61
صورتی,61
کنیم,61
خنک,61
همچین,61
همش,61
بدین,61
موادش,61
جایی,61
خوشمزه‌ترین,61
شل,61
میدم.,61
تولید,61
شما.,61
نداشتن,61
اسپایسی,61
میکنم.,61
مناسب.,60
تاکید,60
ممنون،,60
کردم.,60
خصوصا,60
نبودم,60
توقع,60
میگیرم,60
ایرادی,60
مزه‌اش,60
سریع.,60
تموم,60
کسب,59
…..,59
غذاشون,59
خصوص,59
بود؛,59
بالای,59
متوجه,59
گرمی,59
ضعیف,59
گرم،,58
ذره,58
خیس,58
بیکن,58
جوری,58
میدن,58
بربری,58
رستوران‌ها,58
کنم.,58
سیب‌زمینی,58
اصلی,58
مقدارش,58
نداشت،,57
زمینیش,57
کبابش,57
رب,57
زیبا,57
مطابق,57
جاش,57
همیشه،,57
عالیه،,57
درود,57
شکر,57
ماه,57
جاهای,56
وزن,56
داد.,56
توت,56
ریحون,56
گزینه,56
دونات,56
ترکیب,56
بنظر,56
دومین,56
عالیییی,56
شده،,55
نیست،,55
داریم,55
شدم.,55
هنگام,55
بمونید,55
مداری,54
جداگانه,54
زحمات,54
آلفردو,54
خونه,54
ان,54
چسبید,54
خوشمزگی,54
افتضاح,54
خلاف,54
معرکه,54
نیاز,54
سس‌های,54
خواهشا,54
مختلف,53
توجهی,53
گرونه,53
باره,53
طبقه,53
کیفت,53
دلچسب,53
اماده,53
شرایط,53
املت,53
پرس,53
است،,53
نمیداد,53
دیگ,53
پیتزا‌ها,53
میشود,52
قهوه,52
دلیوری,52
بعدی,52
دلستر,52
بزرگتر,52
کردیم,52
تکه‌های,52
برا,52
نمره,52
درصد,52
خیلیییی,52
اس,52
هست،,52
غذا.,52
ریز,52
اخلاق,51
گران,51
تعریف,51
پرتقال,51
تفاوت,51
هارو,51
ندارم,51
کردین,51
ازین,51
خوردم.,51
برعکس,51
عکسش,51
مثله,51
پسر,51
بهتره.,51
نداشته,51
بسته‌بندی,51
مدیر,50
بهتون,50
کمتری,50
همگی,50
باشین,50
خودشون,50
دارید,50
میداد.,50
اشتباهی,50
کاری,50
متنوع,50
کیفیتی,50
ایده,50
درسته,49
لازم,49
علت,49
ساندویج,49
رژیمی,49
خواهد,49
کوکا,49
سبوس,49
ترجیح,49
نامناسب,49
پوست,49
تشکر.,49
نگه,49
پسته,49
هرچی,49
عالی‌تر,49
جاها,49
بادام,49
بذارید,48
قوطی,48
صرفه,48
خودتون,48
براتون,48
نانها,48
رسوندن,48
خوشمزس,48
کنید،,48
ضمنا,48
مهمتر,48
پیتزایی,48
اکثر,48
سپاسگزارم.,48
آلپارو,48
جزو,48
فوق‌العاده,48
اوکی,47
برگ,47
خلاصه,47
همچنان,47
زدن,47
",",47
کوچه,47
خواهش,47
شیرینی‌تر,47
فرانسوی,47
باشد.,47
همه‌ی,47
ترشی,47
منتها,47
هوا,47
هردو,47
چندمین,47
خیلییی,47
اسفناج,47
قشنگ,46
عین,46
اومد.,46
مقایسه,46
قیمتها,46
اختلاف,46
دیگری,46
واحد,46
سحر,46
آقا,46
دارد,46
هاشون,46
انتقاد,46
ممکن,46
برامون,46
بندیش,46
نکنید,45
کمال,45
منوی,45
وخوشمزه,45
ناپلئونی,45
ندارن,45
نوتلا,45
ست,45
بادمجون,45
بستنی‌ها,45
چیش,45
باری,45
دل,45
مال,45
می‌شد,45
سسی,45
رسیده,45
معجون,45
نمیکردم,45
کالاها,45
پرملات,45
بودیم.,45
روغنش,44
بدن,44
پیکتون,44
تعیین,44
نفرستاده,44
قاطی,44
اسم,44
ترکی,44
تارت,44
بندری,44
رستورانی,44
آوردن.,44
زرد,44
زودفود,44
حدی,44
سطح,43
تبریک,43
عالی..,43
نبود!,43
علی,43
وای,43
سنگین,43
امید,43
اضافی,43
مرسی.,43
توسط,43
نون‌ها,43
مناسب،,43
استخوان,43
دوبار,43
سوخاریش,43
بودش,43
هماهنگی,42
موقع،,42
سماق,42
باقلوا,42
نو,42
غذاهاش,42
گاهی,42
میکرد,42
خوبه،,42
گرفت,42
بودند،,42
محشر,42
موعد,42
دارم.,42
ناراضی,42
برد,42
طعمی,42
سریعتر,41
سفارش‌های,41
کاغذ,41
مشتریان,41
حق,41
هدیه,41
زود‌تر,41
رسوند,41
خانواده,41
۶,41
بیاد,41
بشه،,41
رفت,41
خورش,41
سس‌ها,41
بالایی,40
یکساعت,40
شیرینی‌های,40
جوجه‌ها,40
طعم،,40
حدودا,40
منتظر,40
سفارشی,40
بگیرم,40
بدستمون,40
کروسان,40
تلفنی,40
نبودن,40
شاهو,40
حاضر,40
قدیمی,40
فرستادین,40
فرایز,40
خمیرش,40
/,40
عاااااالی,40
نشون,40
میدیم,40
چنین,40
خدمت,40
بازهم,40
یدونه,40
تخمه,39
پ-ن-,39
bod,39
طبیعی,39
سخت,39
سیخ,39
نی,39
آلبالو,39
حسابی,39
انقد,39
خوشحالم,39
بزنید,39
عالی!,39
سنتی,39
اسمش,39
قلم,39
خداقوت,38
بذارن,38
موجودی,38
چندان,38
جهت,38
سلامت,38
نظیره,38
نداشتم.,38
چای,38
فرستادن.,38
فرستادید,38
کارشون,38
هستین,38
ایران,38
یزدی,38
سایر,38
میل,38
تعجب,38
متناسب,38
معلوم,38
بود!!,38
نداده,38
عالییییی,38
قید,38
تصویر,38
میرسید,38
۵۰,37
موهیتو,37
فکری,37
منطقی,37
کرم,37
درشت,37
چیزبرگر,37
سریع‌تر,37
مثه,37
ساندویچ‌های,37
قبولی,37
بود!!!,37
تازه‌تر,37
ظاهرا,37
اکثرا,37
کیف,37
آوردند,37
هانی,37
وتازه,37
عدم,37
عالییی,37
بیارن,37
توضیح,37
شیرازی,37
داشتیم,37
موضوع,37
پیراشکی,36
یکیش,36
تایمی,36
هستند.,36
ندارید,36
آخر,36
ارسالش,36
دستکش,36
نکات,36
سوال,36
نا,36
va,36
سایت,36
میره,36
متشکر,36
کاشکی,36
باتوجه,36
ادم,36
تندی,36
امشب,36
دکتر,36
احتمالا,36
اصلاح,36
ذرت,35
کنجدی,35
ماکارونی,35
جان,35
هزینه‌ی,35
پشیمون,35
زبان,35
کاهش,35
شک,35
آقای,35
پنیری,35
مخلفاتش,35
آرزوی,35
کف,35
آبمیوه,35
میزد,35
برشته‌تر,35
بمونه.,35
کوچکتر,35
باشن,35
موقع.,35
سیبزمینی,35
خیییلی,35
دارند,35
واقع,34
…ممنون,34
ناتلی,34
اندازش,34
بچه,34
کارد,34
ایی,34
دارچین,34
بوده.,34
۴۰,34
جواب,34
خدایی,34
عجیب,34
اینا,34
کارکنان,34
فیله‌ها,34
یکمی,34
مایونز,34
(,34
انقضا,34
میشه،,34
بدست,34
دارد.,34
سابق,34
میارن,34
بخیر,34
س,34
کیلویی,34
اذیت,34
بهشون,34
اشانتیون,34
مارک,34
تلخی,34
اینطوری,34
درج,33
خوبیه,33
پیشرفت,33
قیمت،,33
ذوق,33
بره,33
کباب‌ها,33
پارتی,33
العاده‌ای,33
دستمان,33
و‌,33
اتفاق,33
ماهک,33
باشند,33
اکبر,33
جور,33
خودمون,33
بالاست.,33
کردن.,33
کنه.,33
هفته,33
تمامی,33
آبدار,33
وبه,33
بندی،,33
سیرش,33
چسب,33
متشکرم.,33
نمیکنم,33
پایین‌تر,33
قارچش,32
افزوده,32
مجدد,32
چک,32
دادند,32
آیس,32
قدری,32
براى,32
دائم,32
اورده,32
کوتاه,32
موفقیت,32
ماسک,32
مث,32
پایدار,32
هوای,32
منفی,32
هیچی,32
ایجاد,32
حل,32
کدوم,32
مرغوب,32
آورد.,32
مشابه,32
می‌شود,32
سوم,32
متأسفانه,32
بصورت,32
چشم,31
ماشروم,31
کوک,31
حلالتون,31
داغ.,31
دهنده,31
نگهبانی,31
وعالی,31
نارنج,31
کوکی,31
سایزش,31
مانند,31
پکیج,31
دسر,31
حالی,31
وهم,31
بخورم,31
فرستادند,31
واقعا.,31
بود),31
نوشتم,31
محتویاتش,31
رستورانهای,31
کوچیکتر,31
برخوردار,31
ساندویچش,31
هرچند,31
عوامل,31
اسپرایت,31
لطیفه,30
بجز,30
۲تا,30
بخوام,30
هستش.,30
کثیف,30
زیاده.,30
نکردم,30
دونر,30
عادی,30
پاره,30
چیزکیک,30
موتور,30
وانیلی,30
نتونستم,30
بشدت,30
پلاک,30
۴۵,30
کریسپی,30
همچی,30
گردویی,30
نیمه,30
خداییش,30
رشته,30
فصل,30
امتحانش,30
کافه,30
مغازه,30
لیوان,30
ایکاش,30
قیمتی,30
طرز,30
جلب,30
پولی,30
هربار,30
‌,29
راضیم.,29
انشالله,29
پلاسیده,29
صبح,29
بود:,29
علاوه,29
داره،,29
ممکنه,29
بده.,29
لواش,29
شیراز,29
زیرو,29
نمکش,29
ساعته,29
آخه,29
کیک‌ها,29
سپاسگذارم,29
کمترین,29
جدیدا,29
بهداشت,29
غنچه,29
الویه,29
بردم.,29
همونطور,29
بودنش,29
انبه,29
بدمزه,29
بفرستید,29
پشت,29
کنند.,29
تیکه‌های,29
دفعه‌ی,29
خیلیم,29
سفارشها,29
هستم،,29
بچه‌های,28
عمرم,28
۱۲,28
قورمه,28
عالیییییی,28
داشتند,28
کشمشی,28
گرفتیم,28
خوردیم,28
باورم,28
خوشبختانه,28
اسنک,28
داغ،,28
بردیم,28
نمی‌دونم,28
تعریفی,28
اولا,28
مهمان,28
۹,28
هایدا,28
جعفری,28
دفعه‌های,28
کرایه,28
۲۵,28
تافتون,28
معقول,28
علیرغم,28
چانو,28
میکنه.,28
واقعن,28
بلکه,28
خیال,28
تزیین,28
زد,28
تره,28
برسه.,28
مناسبه,28
برم,28
بذارین,28
کارش,28
براش,28
یادشون,28
برابر,28
خونگی,28
خمیری,28
منصفانه,27
دورش,27
تاثیر,27
خوشمزست,27
جمع,27
عزیزان,27
برگرها,27
۱۰۰,27
نامی,27
بودید.,27
رول,27
داگش,27
اعتماد,27
چیزش,27
زنده,27
آجیل,27
برنامه,27
وعده,27
وخیلی,27
خلال,27
تجدید,27
مغایرت,27
شما،,27
رسید!,27
درخواستی,27
پیکی,27
آمریکایی,27
دنیا,27
ریحان,27
باهاش,27
میگیرن,27
کردند.,27
آباد,27
پستو,27
سیگار,27
میومد,27
ساله,27
پیکشون,27
بوود,27
شرکت,27
اینطور,27
آناناس,27
سی,27
می‌شد.,27
جذاب,27
فانتا,26
گیاهی,26
۸,26
طریق,26
ممنونم،,26
عاالی,26
وسریع,26
پنجره‌ای,26
تندیش,26
٢,26
شیرینیش,26
بگیرید,26
کودک,26
اسلایس,26
شیرینیها,26
وافل,26
شامل,26
انقضای,26
آمد,26
کسانی,26
گرفتند,26
نارگیل,26
کمه.,26
اونی,26
فروش,26
نیستم,26
مهمون,26
بودو,26
دارین,26
میزنه,26
لایه,26
قدر,26
کنن.,26
اطراف,26
بعید,26
نشدم,26
رسید..,26
صرف,26
مکزیکی,26
علاقه,26
برگرش,26
هلو,26
همینطوری,26
فر,26
راننده,26
نباشید،,26
کچاپ,26
اولش,26
رستورانها,26
مهمه,25
جنسی,25
نوش,25
کش,25
صحیح,25
میوه‌های,25
بافت,25
دیروز,25
ایشالا,25
گل,25
bood,25
شخصیت,25
bud,25
متر,25
مرغها,25
شکیل,25
اقا,25
نخود,25
میکنیم,25
بود:),25
بزارن,25
وان,25
دنبال,25
پولش,25
محلی,25
می‌کنم.,25
خیلییییی,25
بریان,25
کوچیکه,25
گوجه‌ها,25
زیرش,25
چیلی,25
وضعیت,25
مهم‌تر,25
خارج,25
لطیف,25
سیستم,25
کردم،,25
۷,25
روغنی,25
م,25
عالیی,25
صد,25
چیدمان,24
چرخ,24
دیزاین,24
باقالی,24
میگیره,24
دادن.,24
می‌داد,24
دهید,24
کیکش,24
گذاشت,24
توضیحاتی,24
چندتا,24
یاد,24
کج,24
شو,24
همشون,24
شیری,24
۳۶۰,24
دمشون,24
پخش,24
تایید,24
سفارشاتم,24
نبوده,24
سپاس.,24
گاردن,24
پیک.,24
آسانسور,24
سوخاری‌ها,24
قدیم,24
ردولوت,24
آشپز,24
بندى,24
تقدیر,24
زمینى,24
آبکی,24
سعادت,24
گرمش,24
متاسفم,24
بامیه,24
میباشد,24
چاقو,24
طعم.,24
دلم,24
بدلیل,24
بالاخره,24
بفرمایید,24
بینهایت,24
دستم.,24
مؤدب,24
جرات,24
ندیده,24
عااااااالی,24
حرارت,24
پاک,24
مثبت,24
زمینی‌های,23
میگو,23
مزه‌ای,23
…فقط,23
۱۰۰۰,23
نگذاشته,23
داشتم،,23
میکشه,23
زیاد.,23
دیپ,23
چیده,23
اینهمه,23
سالادش,23
کیفیتشون,23
کتف,23
سروقت,23
می‌تونست,23
چلوکباب,23
سفارشو,23
ولرم,23
بوقلمون,23
مزه.,23
میخوام,23
باربیکیو,23
کشید.,23
سلیقه‌ای,23
نیومد,23
سعی,23
گرفتم.,23
دیده,23
کوپن,23
استپ,23
جدیدی,22
اثر,22
ظاهرش,22
غذاهاشون,22
پیتزاهاش,22
زدم,22
بگذارید,22
راضى,22
آینده,22
میرسه.,22
گاتا,22
اصن,22
کد,22
همان,22
هم‌,22
لازانیا,22
العاده.,22
اندازه‌اش,22
ى,22
کالای,22
نفرستادن,22
کن,22
باب,22
نخلک,22
فوری,22
هستید.,22
فودپارتی,22
دقتی,22
بدید.,22
همینجور,22
ضعف,22
عجله,22
مجددا,22
اطمینان,22
مشتریتون,22
می‌شه,22
کلمه,22
نزدیکی,22
انتخابی,22
بهترم,22
گفتند,22
لذید,22
ویتامینه,22
بالا.,22
دلمه,22
بالاس,22
پیتزاتون,22
توجیه,22
مایع,22
اشتباها,22
خوشگل,22
کشیده,22
قیمتا,22
پیگیر,22
سلامتی,22
گرفت.,22
خیابون,22
هستن.,22
برطرف,22
ناهار,22
نداد,22
موسیر,22
خوشایند,22
سفارش،,22
تیاکو,21
بیاره,21
میبود,21
مواردی,21
ایشون,21
لذیذی,21
تازه‌ای,21
جابجا,21
تشکر،,21
٥,21
کادر,21
انواع,21
اینو,21
اندازه‌ی,21
کنین.,21
تناسب,21
موتوری,21
ایشان,21
اسلامی,21
چطور,21
جالبه,21
پرحجم,21
اینم,21
چاکلت,21
بیسکوییت,21
اینترنتی,21
هماهنگ,21
می‌شود.,21
حجیم,21
-),21
مجموعا,21
ham,21
نمی‌ارزید,21
دیرتر,21
be,21
زحماتتون,21
وارد,21
نمیتونم,21
هفت,21
مردم,21
راستش,21
مشتری‌های,21
مقرر,21
حجمشم,21
جلوی,21
زعفران,21
گرد,21
می‌کنید,21
خوبش,21
ماسیده,21
مشکی,21
مطمئن,21
ردیف,21
وبا,21
مدتها,21
ناراحت,21
ندارد,21
نداشتند,21
رفتن,21
آمده,21
دائمی,21
خیر,21
وگرم,20
عجیبی,20
نان‌های,20
همونی,20
تعویض,20
خریده,20
پیک‌های,20
اوردن.,20
کسایی,20
هندی,20
تلفن,20
سورپرایز,20
نسکافه,20
کته,20
پیکش,20
khoshmaze,20
کویین,20
میشن,20
شفته,20
+,20
مصرفی,20
پز,20
واسم,20
بهروش,20
ضخیم,20
وخسته,20
چیزایی,20
نزاشته,20
چیزا,20
رد,20
ست.,20
نمیشه.,20
