word,label
هرگز,60
میشود,60
بیسکوییت,60
توضیح,60
کدوم,60
اینهمه,60
مرسی,60
وسطش,60
زخم,60
خورش,60
چقدر,60
آخرم,59
حفظ,59
آبمیوه,59
آلبالو,59
۷,59
بجاش,59
باقی,59
اختلاف,59
نشه,59
معجون,59
نیاوردن,59
عادی,59
مانند,59
هست،,59
بودش,58
مینی,58
سسی,58
درشت,58
بیمزه,58
لیوان,58
میشد.,58
معمول,58
کنسل,58
خوردیم,58
همان,58
داد.,58
تعریفی,58
بد‌ترین,58
صد,58
تلفنی,58
لواش,58
اونقدر,58
ایی,57
می‌شد,57
بس,57
بد،,57
عکسی,57
یادشون,57
بامیه,57
سلیقه,57
درش,57
میوه‌ها,57
حالیکه,57
تلخی,57
بخوریم,56
بوده.,56
جدیدا,56
تنوع,56
بودن!,56
بگید,56
رفتاری,56
لطیفه,56
سوال,56
اینطور,56
می‌داد.,56
همه‌ی,56
درکل,56
خواهشا,56
وانیلی,56
نمیدم.,56
کنجدی,56
دهی,56
گرفتم.,56
امید,55
عذرخواهی,55
۵۰۰,55
دریغ,55
ستاره,55
فاقد,55
فصل,55
تایم,55
نتونستیم,55
خورد.,55
بیاره,55
مجددا,55
هربار,55
ایتالیایی,55
کشید.,55
تازگی,54
رشته,54
پوره,54
طریق,54
دهن,54
دونات,54
بدست,54
اونی,54
عزیز,54
تاحالا,54
ترکیب,54
هستن,54
زبان,54
میگیرید,54
افتضاح.,54
زد,54
وضعیت,54
سپاس,54
میکنیم,54
جالبه,54
پولش,54
حدودا,54
حاضر,54
فراوان,53
خواهد,53
لااقل,53
معطل,53
عمل,53
صرفا,53
اخیر,53
اکثر,53
شرایط,53
قیمتی,53
میدونم,53
بچه,53
لای,53
کشمشی,53
چیه,53
اس,53
دهنده,53
مزه‌ترین,53
شیرازی,53
بطری,52
ضخیم,52
ربطی,52
مختلف,52
لازانیا,52
رایگان,52
پشت,52
فرستادن،,52
فر,52
۲۰۰,52
اصل,52
اصلاح,52
گرفتند,52
نمی‌ارزید,52
افتضاح‌ترین,52
هارو,52
اسفناج,52
پولشو,52
کوکا,52
تیره,51
اینطوری,51
برابر,51
اینترنتی,51
نانوایی,51
پشیمونم,51
میتونه,51
کردن.,51
سفارش‌ها,51
اخر,51
گردویی,51
دوما,51
بهشون,51
خریداری,51
مزش,51
باقالی,51
مشکلی,51
کاهوی,51
قدیم,51
خدمات,51
بزنید,51
عجیبی,50
آدامس,50
کسری,50
نارضایتی,50
جزو,50
زولبیا,50
تومانی,50
زردچوبه,50
تک,50
جدید,50
الکی,50
کتف,50
معنای,50
حق,49
سرده,49
است،,49
فیله‌ها,49
میومد,49
منوی,49
همراهش,49
لطف,49
آوردن.,49
ردولوت,49
نانها,49
بود:,49
کرم,49
محصولی,49
بفرستید,49
۹,49
کجا,49
غالب,49
جنسی,49
سبوس,49
سنگ,48
منطقی,48
سختی,48
سیب‌زمینی,48
اثر,48
بارم,48
برامون,48
صورتیکه,48
آناناس,48
ندارند,48
ندادن,48
ترجیح,48
داشتم.,48
گویا,48
خنک,48
زمینیش,48
برخوردار,48
نبودیم,48
پلاک,48
مطلوب,47
بفرستن,47
دورش,47
شامل,47
طبقه,47
گذاشت,47
سانت,47
هستند,47
گزینه,47
میفرستن,47
بودند،,47
نخود,47
نبودند,47
بود!!!!,47
١,47
باورم,47
یاد,47
تمامی,47
کش,47
کلمه,47
باشن,46
کشیده,46
ایراد,46
اندازه‌ی,46
رژیمی,46
بوقلمون,46
وحشتناک,46
زندگیم,46
کارد,46
زیرو,46
بریان,46
کرده،,46
میگرفتم,46
واحد,46
فرقی,46
پیاده,46
عالیه,46
کباب‌ها,46
برگرها,45
۱ساعت,45
نامرغوب,45
سنگین,45
رفت.,45
شون,45
واقعن,45
غذاشون,45
نیس,45
ماندگی,45
کردم،,45
سفارشو,45
فریزر,45
شده!,45
نهایتا,45
چندان,45
نمی‌شد,45
۲۵,45
فروش,45
باشد.,45
سوخاریش,45
بدلیل,45
بود؛,45
کیک‌ها,45
بعیده,45
کروسان,45
راحت,45
دفعه‌ی,45
دونر,45
موسیر,45
مشابه,44
نمی‌ارزه,44
بندیش,44
دلمه‌ای,44
غذا.,44
طلایی,44
انتظارم,44
مزه.,44
هانی,44
براشون,44
آنقدر,44
انقضاش,44
دفعه‌های,44
باتوجه,44
متر,44
اسلایس,44
٣,44
هستیم,43
نگه,43
برگشت,43
‌,43
مطابق,43
آنلاین,43
دیشب,43
و‌,43
بریزم,43
رون,43
ملات,43
چجوری,43
وا,43
تذکر,43
بدم.,43
بخیر,42
اثری,42
نشاط,42
جداگانه,42
میخوام,42
ذوق,42
نامناسبی,42
تابه‌ای,42
سانتی,42
میرفت,42
نکنید.,42
گوشتی,42
ساندویچ‌های,42
شیرینى,42
سنتی,42
سخت,42
حل,42
مزه‌اش,42
بخوره,42
نتیجه,42
ردیف,42
هام,42
ندارین,42
کنی,42
اینقد,42
ظاهرش,42
داره،,42
غضروف,41
واقعا.,41
مارک,41
تصور,41
اعتبار,41
فرستادن!,41
نمیگیرم,41
بدیم,41
مصرفی,41
نوشتن,41
می‌شود,41
شماره,41
افتضاحه,41
نکردم,41
سس‌ها,41
میشم,41
قائل,41
صرفه,41
چیزکیک,41
قسمتی,41
متاسفانه.,41
سفارش،,41
لپه,41
شیری,40
موفق,40
منطقه,40
مثبت,40
فالوده,40
مزخرف,40
مى,40
مطمئنا,40
کوک,40
تلفن,40
میزنه,40
برم,40
تولد,40
معنی,40
چندبار,40
کچاپ,40
رسید!,40
بگیره,40
جبران,40
میدین,40
خصوص,40
٤,40
نمره,40
نمیکردم,40
میگیره,40
زهم,40
ندید,39
جعفری,39
دوساعت,39
یزدی,39
میگو,39
۷۰,39
والا,39
جور,39
درخواستی,39
حرف,39
مداری,39
ماشروم,39
میدید,39
کرنبری,39
زمینى,39
نشون,39
خوردم،,39
خودمون,39
ورق,39
انگشت,39
تبدیل,39
دقیق,39
میرسید,39
باهاش,39
مکزیکی,39
موتور,39
مقدارش,39
متناسب,39
نکنه,39
نیست!,39
۱۱,39
لذت,38
چشم,38
نگذاشته,38
شله,38
نکشیده,38
بفرمایید,38
مشکی,38
نرمال,38
سویا,38
بدرد,38
برگشته,38
ایجاد,38
هماهنگ,38
ریش,38
نبود..,38
دلمه,38
ویتامینه,38
رقیق,38
رفتن,38
سماق,38
۳۰۰,38
بسته‌بندی,38
افتضاح،,38
منفی,38
معده,38
عددی,38
بزارید,37
بودو,37
چسب,37
برده,37
چای,37
بررسی,37
بند,37
کاله,37
نیاورد,37
تناسب,37
نرسیده,37
میدم.,37
میکنند,37
میگیرن,37
اضافی,37
آشپز,37
مربوط,37
مستقیم,37
زیرش,37
مواجه,37
سطل,37
خاص,37
سعی,37
بیسکویت,37
رستورانهای,37
منم,37
باتشکر,37
داشت!,37
گرسنه,37
دادن.,37
پرداختی,36
زعفرانی,36
برگراتور,36
ندیدم,36
بوده،,36
نخوردم,36
ممکنه,36
کته,36
زمینی‌های,36
کلام,36
مزه،,36
اپلیکیشن,36
ریخت,36
کوتاه,36
دقتی,36
درون,36
مرغها,36
داشتند,36
خواهی,36
ساختمان,36
دارچین,36
کنه.,36
کودک,36
توجیه,36
پولم,36
انتقاد,36
تایی,36
کوکی,36
مونده.,36
تایید,36
تحویلی,36
تجدید,36
پیتزا،,36
فردا,35
ى,35
نامطبوعی,35
نداد,35
مغایر,35
دامداران,35
۲تا,35
کن,35
هردو,35
صرف,35
ندارد.,35
مارگاریتا,35
کردند.,35
پیکتون,35
شعور,35
ن,35
فشار,35
اسنپ‌فود,35
قهوه‌ای,35
کاکائو,35
ساقه,35
دارد.,35
دائم,35
میوه‌ای,35
گذاشتم,35
کیفیتتون,35
موهیتو,35
کنم،,35
میارن,35
مشخصه,35
اومده.,35
بدمزه‌ترین,35
امده,35
برسه.,35
ازینجا,34
بی‌کیفیت,34
ایشون,34
نیاورده,34
درستی,34
رستورانها,34
محتویاتش,34
هاى,34
ساله,34
خیلییییی,34
بده.,34
آقا,34
ایران,34
تشکیل,34
اتفاقی,34
بذارید,34
کوچیکتر,34
متلاشی,34
آبگوشت,34
بخشی,34
ماشین,34
دوس,34
نکرد,34
انتظاری,34
کاکائویی,34
قضیه,34
میشه،,34
مشتری‌های,34
بخصوص,34
کوپن,34
متریال,34
براش,34
۲-,34
بقدری,34
پیک،,34
سوراخ,34
گردن,34
تاثیر,34
میباشد,34
بلد,34
میدادن,34
رفتم,33
مرجوع,33
مهمونم,33
گوساله,33
راضى,33
غذاهاتون,33
نداشتیم,33
معمولی.,33
صبح,33
میکشه,33
دارای,33
کنسرو,33
پایینه,33
خامی,33
پائین,33
نانی,33
کلفت,33
کم،,33
کمال,33
بالا.,33
آجیل,33
سمت,33
پشیمان,33
نمیکنن,33
گرفتم،,33
شکلی,33
گذاشتین,33
خارجی,33
بخوام,33
۱٫۵,33
خریده,33
تاریخش,33
متاسف,33
کالایی,33
تأخیر,33
نمیتونم,33
وقته,33
قارچ‌ها,32
دادید,32
لابی,32
رول,32
بدستمون,32
شرمنده,32
رنگش,32
فکری,32
آنها,32
عجله,32
طالبی,32
تزیین,32
کوچیکه,32
طی,32
کوکتل,32
ظاهری,32
اتمام,32
دیگی,32
زننده,32
کدام,32
بود),32
دریافتی,32
بهتون,32
خوردنش,32
سابقه,32
الفردو,32
شیرینیها,32
۲۰۰۰,32
محاسبه,32
حساسیت,32
ایشان,32
موادی,32
رها,32
٥,32
چپه,32
باربیکیو,31
نوشابه‌ها,31
تحمل,31
میتونست,31
انقضای,31
خلال,31
کند,31
کبابها,31
منتها,31
نزاشته,31
قند,31
قراره,31
پیتزارو,31
دارند,31
نمی‌کنم.,31
اسپرایت,31
روزهای,31
مرتبه,31
اجازه,31
دادین,31
۹۰,31
کاملن,31
ظهر,31
اینجانب,31
بگیرم.,31
گوشه,31
نگم,31
اومد.,31
مشترى,31
تعیین,31
فشرده,31
بعنوان,31
بازهم,31
حسابم,31
دیرتر,31
نداره،,31
چاقو,31
بدطعم,31
حیفه,31
عرق,31
دیپ,31
ناهار,31
میوه‌های,30
کاهو‌ها,30
اطراف,30
سس‌های,30
بزارن,30
صبر,30
گاردن,30
شام,30
شعبه‌های,30
زعفران,30
آمد,30
وسایل,30
۵۰۰۰,30
اى,30
نارنج,30
دستتون,30
پرچرب,30
تقصیر,30
درحالیکه,30
بندى,30
تماما,30
نامطبوع,30
کنید،,30
۳۰۰۰,30
باشم,30
خیابون,30
وضع,30
لحظه,30
میزنن,30
چیده,30
خواست,30
معلومه,30
موندم,30
هرچند,30
دچار,30
گوجه‌ها,30
قیمت،,30
اهمیتی,30
معذرت,29
فروشنده,29
جوجه‌اش,29
پ-ن-,29
بگیرن,29
va,29
فوق‌العاده,29
آبلیمو,29
تاش,29
پیکی,29
پیتزا.,29
بینهایت,29
ادبانه,29
بوى,29
پستو,29
کالای,29
میگیرین,29
نمیشه.,29
چطوری,29
نمیشد.,29
نمیخورد,29
شمع,29
تافتون,29
شش,29
اندازش,29
محدوده,29
دستمان,29
مراجعه,29
هزارتومن,29
رویه,29
